Stand	Schedule	P1_Income	P1_Pine_saw	P1_Pine_pulp	P1_Spruce_saw	P1_Spruce_pulp	P1_Birch_saw	P1_Birch_pulp	P2_Income	P2_Pine_saw	P2_Pine_pulp	P2_Spruce_saw	P2_Spruce_pulp	P2_Birch_saw	P2_Birch_pulp	P3_Income	P3_Pine_saw	P3_Pine_pulp	P3_Spruce_saw	P3_Spruce_pulp	P3_Birch_saw	P3_Birch_pulp	P4_Income	P4_Pine_saw	P4_Pine_pulp	P4_Spruce_saw	P4_Spruce_pulp	P4_Birch_saw	P4_Birch_pulp	P5_Income	P5_Pine_saw	P5_Pine_pulp	P5_Spruce_saw	P5_Spruce_pulp	P5_Birch_saw	P5_Birch_pulp	P6_Income	P6_Pine_saw	P6_Pine_pulp	P6_Spruce_saw	P6_Spruce_pulp	P6_Birch_saw	P6_Birch_pulp	PV_timber	PV_land	Binary
4	2	6446.320739	70.33224701	6.338561483	27.07669417	6.369030608	0.829237935	5.411133534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275.053894	275.053894	1
4	3	0	0	0	0	0	0	0	6506.29725	70.97955552	6.279561774	27.46363971	6.4072928	0.82707644	5.408709931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275.053894	275.053894	1
4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6566.017995	71.59046177	6.262470505	27.85233677	6.44032283	0.847608058	5.385201751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275.053894	275.053894	1
4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6629.161064	72.12570743	6.322895876	28.51917629	6.212167882	0.845461476	5.384240264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275.053894	275.053894	1
4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6791.07359	73.79739273	6.256868074	29.6730266	6.232146305	0.831922012	5.337834633	0	0	0	0	0	0	0	275.053894	275.053894	1
4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6958.124722	75.49669535	6.168160679	31.05862623	6.031364675	0.818559183	5.290200432	705.6868896	705.6868896	1
5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16872.75195	538.5825806	1
5	2	2344.732814	15.55968464	1.686246757	19.81199236	3.6333246	0.344149437	2.035776763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275.053894	275.053894	1
5	3	0	0	0	0	0	0	0	2372.343414	15.73835458	1.670782961	20.12946527	3.620081472	0.350564542	2.024030324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275.053894	275.053894	1
5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2400.374541	15.89081408	1.682215914	20.52906217	3.517776193	0.349290793	2.019518834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275.053894	275.053894	1
5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2426.223102	16.04284172	1.692589249	20.80045284	3.544550802	0.348525924	2.015026021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275.053894	275.053894	1
5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2489.756753	16.36028831	1.673896286	21.63111956	3.530297645	0.342189455	1.981552527	0	0	0	0	0	0	0	275.053894	275.053894	1
5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2554.922982	16.67390416	1.662436519	22.51538283	3.478729101	0.336124208	1.948363571	538.5825806	538.5825806	1
6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15928.84375	646.4244995	1
6	2	4445.108162	41.51924906	4.518387342	24.79369972	5.639653703	0.672806865	4.071862059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275.053894	275.053894	1
6	3	0	0	0	0	0	0	0	4497.243403	42.03817481	4.420813816	25.25892606	5.586338798	0.675544217	4.076574707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275.053894	275.053894	1
6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4545.170447	42.4307502	4.451764969	25.63862664	5.62130634	0.674984893	4.081573237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275.053894	275.053894	1
6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4594.070959	42.90530959	4.409678497	25.96594356	5.692501996	0.692083475	4.070708899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275.053894	275.053894	1
6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4731.057678	44.07294382	4.412766355	27.29772272	5.509159851	0.682454954	4.03702081	0	0	0	0	0	0	0	275.053894	275.053894	1
6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4869.501611	45.26142989	4.411298405	28.60416733	5.365096034	0.676022726	4.005482998	646.4244995	646.4244995	1
7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12420.08691	481.2607727	1
7	2	22038.42337	311.6682677	25.77809309	29.42982995	2.028149117	1.555104589	18.68967181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523.5426636	523.5426636	1
7	3	0	0	0	0	0	0	0	22157.71387	313.9161474	25.59071609	29.77220106	1.947477975	1.502214065	18.09793735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523.5426636	523.5426636	1
7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22276.64084	316.1971764	25.38137499	29.99740325	1.981428925	1.452612119	17.5169679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523.5426636	523.5426636	1
7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22396.57786	318.4775333	25.16234386	30.28593187	1.954015265	1.401033472	16.946007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523.5426636	523.5426636	1
7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22710.06102	323.9370002	25.43631544	31.01430109	1.978425794	1.267304532	15.33065896	0	0	0	0	0	0	0	523.5426636	523.5426636	1
